sofa_id,name,pos,season,league,country,dom_g,dom_a,dom_tk,dom_cs,dom_sv,dom_rt,league_strength,target_ucl_fantasy_pts
850816,Joey Veerman,MID,2425,Ered,Netherlands,1,8,35,2,0,7.65,15.25,13
798583,Dayot Upamecano,DEF,2425,Bund,Germany,2,0,36,7,0,7.37,18.421,23
845386,Federico Chiesa,MID,2425,PL,England,0,0,1,0,0,6.45,29.464,1
1088896,Johan Bakayoko,MID,2425,Ered,Netherlands,9,1,19,2,0,7.08,15.25,17
1046960,Ryan Flamingo,DEF,2425,Ered,Netherlands,0,2,44,6,0,7.19,15.25,29
759520,Denzel Dumfries,DEF,2425,SerieA,Italy,7,2,25,5,0,7.03,21.875,48
986395,Ricardo Pepi,FWD,2425,Ered,Netherlands,11,2,6,3,0,7.3,15.25,11
814590,Marcus Rashford,MID,2425,PL,England,6,3,17,2,0,6.96,29.464,7
784655,Fabián Ruiz,MID,2425,L1,France,4,5,37,0,0,7.27,17.928,28
851284,Rafael Leão,MID,2425,SerieA,Italy,8,8,16,3,0,7.19,21.875,21
789071,Dani Olmo,MID,2425,LaLiga,Spain,10,3,16,0,0,7.27,23.892,15
592010,Mikel Merino,MID,2425,PL,England,7,2,46,3,0,7.03,29.464,28
50490,Wojciech Szczęsny,GK,2425,LaLiga,Spain,0,0,1,8,21,6.91,23.892,17
893549,Tijjani Reijnders,MID,2425,SerieA,Italy,10,4,26,10,0,7.24,21.875,18
787505,Benjamin Pavard,DEF,2425,SerieA,Italy,0,1,29,6,0,7.02,21.875,29
10406,Simon Mignolet,GK,2425,Belgium,Belgium,0,0,2,10,77,6.97,15.65,24
996952,Bradley Barcola,MID,2425,L1,France,14,10,27,1,0,7.25,17.928,32
355492,Konrad Laimer,DEF,2425,Bund,Germany,2,2,49,6,0,6.93,18.421,23
135700,Hakan Çalhanoğlu,MID,2425,SerieA,Italy,5,6,43,1,0,7.41,21.875,28
886365,Dominik Takáč,GK,2425,Slovakia,Slovakia,0,0,1,3,91,7.15,4.625,12
1142251,Aleksandar Pavlović,MID,2425,Bund,Germany,1,0,38,4,0,7.14,18.421,2
996953,Lucas Chevalier,GK,2425,L1,France,0,0,3,11,96,7.09,17.928,14
859025,Aurélien Tchouaméni,MID,2425,LaLiga,Spain,0,0,47,10,0,7.1,23.892,7
577726,Ramy Bensebaini,DEF,2425,Bund,Germany,1,6,51,2,0,7.03,18.421,30
1401702,Ethan Nwaneri,MID,2425,PL,England,4,2,11,1,0,6.93,29.464,12
1031259,Christos Tzolis,MID,2425,Belgium,Belgium,16,9,34,4,0,7.65,15.65,17
1000483,Marc Casadó,MID,2425,LaLiga,Spain,1,3,44,4,0,7.03,23.892,19
69768,Jan Oblak,GK,2425,LaLiga,Spain,0,0,0,15,86,7.04,23.892,18
824509,Gianluigi Donnarumma,GK,2425,L1,France,0,0,1,4,51,6.92,17.928,36
801030,Atakan Karazor,MID,2425,Bund,Germany,2,4,59,7,0,7.09,18.421,6
